Fname,M,Conte,DSJM_slo,DSJM_lfo,DSJM_ido
er_n2,800,0.062,0,0,0
er_1p5n2,1200,0.075,0,0,0
er_2n2,1600,0.076,0,0,0
er_2p5n2,2000,0.114,0,0.01,0
er_3n2,2400,0.091,0,0,0.01
er_3p5n2,2800,0.118,0,0,0
er_4n2,3200,0.106,0,0,0
er_4p5n2,3600,0.149,0,0,0
er_5n2,4000,0.121,0,0,0
er_5p5n2,4400,0.153,0.01,0,0
er_6n2,4800,0.177,0,0.01,0
er_6p5n2,5200,0.145,0,0,0
er_7n2,5600,0.175,0,0,0
er_7p5n2,6000,0.173,0.01,0.01,0
er_8n2,6400,0.18,0,0,0
er_8p5n2,6800,0.203,0.01,0,0
er_9n2,7200,0.212,0,0.01,0
er_9p5n2,7600,0.217,0.01,0.01,0.01
er_n3,8000,0.228,0.01,0.01,0
er_1p5n3,12000,0.274,0.01,0.01,0.01
er_2n3,16000,0.3022,0.02,0.01,0.01
er_2p5n3,20000,0.398,0.02,0.01,0.02
er_3n3,24000,0.462,0.02,0.02,0.02
er_3p5n3,28000,0.646,0.02,0.02,0.02
er_4n3,32000,0.701,0.03,0.02,0.02
er_4p5n3,36000,0.827,0.03,0.03,0.03
er_5n3,40000,0.603,0.04,0.03,0.03
er_5p5n3,44000,0.774,0.04,0.04,0.04
er_6n3,48000,0.694,0.04,0.04,0.03
er_6p5n3,52000,0.814,0.04,0.04,0.03
er_7n3,56000,0.879,0.05,0.04,0.04
er_7p5n3,60000,1.022,0.05,0.04,0.04
er_8n3,64000,1.163,0.05,0.05,0.05
er_8p5n3,68000,0.958,0.05,0.05,0.05
er_9n3,72000,1.079,0.06,0.05,0.06
er_9p5n3,76000,1.153,0.07,0.05,0.06
er_n4,80000,1.875,0.08,0.07,0.07
er_1p5n4,120000,1.989,0.13,0.12,0.12
er_2n4,160000,3.332,0.14,0.12,0.13
er_2p5n4,200000,2.412,0.25,0.23,0.22
er_3n4,240000,3.679,0.21,0.19,0.2
er_3p5n4,280000,3.093,0.37,0.32,0.35
er_4n4,320000,3.988,0.29,0.26,0.27
er_4p5n4,360000,3.757,0.53,0.48,0.48
er_5n4,400000,6.305,0.37,0.34,0.35
er_5p5n4,440000,4.872,0.42,0.38,0.38
er_6n4,480000,8.294,0.46,0.42,0.42
er_6p5n4,520000,7.289,0.51,0.45,0.45
er_7n4,560000,9.01,0.55,0.49,0.49
er_7p5n4,600000,9.341,0.58,0.53,0.54
er_8n4,640000,7.861,0.64,0.58,0.59
er_8p5n4,680000,7.448,0.68,0.62,0.63
er_9n4,720000,10.985,0.73,0.66,0.67
er_9p5n4,760000,11.786,0.79,0.7,0.71
er_n5,800000,6.711,0.92,0.82,0.82
er_1p5n5,1200000,8.505,2.16,1.83,1.92
er_2n5,1600000,11.641,2.21,2.12,2.09
er_2p5n5,2000000,13.32,3.86,3.31,3.19
er_3n5,2400000,18.24,3.19,3,2.99
er_3p5n5,2800000,18.659,4.97,4.61,4.52
er_4n5,3200000,26.007,5.15,4.29,4.17
er_4p5n5,3600000,26.31,6.61,5.62,5.57
er_5n5,4000000,30.577,6,5.39,5.38
er_5p5n5,4400000,36.761,6.69,6,5.92
er_6n5,4800000,44.091,7.33,6.56,6.47
er_6p5n5,5200000,45.745,8.03,7.14,7.13
er_7n5,5600000,49.354,8.92,7.84,8.13
er_7p5n5,6000000,57.118,9.7,8.45,8.51
er_8n5,6400000,56.468,10.77,10.09,10.2
er_8p5n5,6800000,60.284,13.64,11.67,10.83
er_9n5,7200000,62.91,14.4,11.72,12.2
er_9p5n5,7600000,70.027,15.44,13.14,12.88
er_n6,8000000,69.262,14.92,12.88,15.25
er_1p5n6,12000000,95.966,30.26,27.8,25.52
er_2n6,16000000,137.634,29.86,25.98,25.6
er_2p5n6,20000000,171.349,56.22,47.72,49.96
er_3n6,24000000,248.959,58.09,52.17,49.16
er_3p5n6,28000000,235.283,72.83,63.18,61.99
er_4n6,32000000,454.46,119.35,93.64,96.76
er_4p5n6,36000000,345.649,111.98,80.09,81.95
er_5n6,40000000,345.559,91.3,99.85,87.73
er_5p5n6,44000000,554.943,95.76,89.05,79.03
er_6n6,48000000,524.471,228.32,180,179.83
er_6p5n6,52000000,747.916,240.01,222.87,192.9
er_7n6,56000000,1013.633,182.38,159.11,160.92
er_7p5n6,60000000,709.814,369.06,191.71,214.24
er_8n6,64000000,1210.771,186.42,153.23,150.8
er_8p5n6,68000000,864.699,470.67,450.52,477.55
er_9n6,72000000,1972.546,638.89,593.34,617.06
er_2n2_dup,1600,0.096,0,0,0
er_4n2_dup,3200,0.119,0,0,0
er_7n2_dup,5600,0.186,0.01,0,0
er_9n2_dup,7200,0.2,0.01,0,0
er_2n3_dup,16000,0.302,0.01,0.01,0.02
er_4n3_dup,32000,0.608,0.03,0.03,0.03
er_7n3_dup,56000,0.886,0.05,0.05,0.04
er_9n3_dup,72000,1.136,0.06,0.06,0.05
er_2n4_dup,160000,2.683,0.14,0.13,0.13
er_4n4_dup,320000,6.438,0.29,0.26,0.26
er_7n4_dup,560000,8.481,0.55,0.49,0.5
er_9n4_dup,720000,10.656,0.73,0.66,0.67
er_2n5_dup,1600000,11.202,2.26,2.08,2.09
er_4n5_dup,3200000,24.638,5.57,4.85,4.53
er_7n5_dup,5600000,49.946,9.77,8.08,8.97
er_9n5_dup,7200000,61.318,12.13,10.52,10.26
er_3n6_dup,24000000,479.765,45.52,39.87,39.14
er_5n6_dup,40000000,375.599,104.38,81.96,83.28
er_7n6_dup,56000000,1063.837,102.32,90.8,89.62
er_9n6_dup,72000000,1740.468,581.89,550.51,556.41
sw_n2,777,0.065,0,0,0
sw_1p5n2,1184,0.071,0,0,0
sw_2n2,1580,0.103,0,0.01,0
sw_2p5n2,1977,0.093,0,0,0
sw_3n2,2382,0.098,0,0,0
sw_3p5n2,2776,0.121,0.01,0,0
sw_4n2,3175,0.153,0,0,0
sw_4p5n2,3575,0.149,0,0,0
sw_5n2,3974,0.155,0,0,0
sw_5p5n2,4385,0.155,0,0.01,0
sw_6n2,4778,0.168,0.01,0,0
sw_6p5n2,5173,0.148,0.01,0,0
sw_7n2,5577,0.156,0,0.01,0.01
sw_7p5n2,5981,0.182,0,0,0.01
sw_8n2,6373,0.231,0.01,0.01,0.01
sw_8p5n2,6780,0.211,0,0,0.01
sw_9n2,7182,0.206,0.01,0,0
sw_9p5n2,7579,0.228,0.01,0,0
sw_n3,7981,0.216,0,0.01,0.01
sw_1p5n3,11972,0.266,0.01,0.01,0.01
sw_2n3,15974,0.306,0.02,0.01,0.01
sw_2p5n3,19974,0.302,0.02,0.02,0.02
sw_3n3,23975,0.374,0.02,0.02,0.02
sw_3p5n3,27979,0.527,0.02,0.03,0.02
sw_4n3,31985,0.553,0.03,0.02,0.02
sw_4p5n3,35973,0.627,0.02,0.02,0.03
sw_5n3,39982,0.593,0.03,0.03,0.03
sw_5p5n3,43973,0.606,0.04,0.03,0.03
sw_6n3,47983,0.635,0.04,0.04,0.04
sw_6p5n3,51977,0.7,0.04,0.04,0.04
sw_7n3,55981,0.744,0.04,0.05,0.04
sw_7p5n3,59973,0.852,0.05,0.04,0.05
sw_8n3,63983,0.979,0.05,0.05,0.05
sw_8p5n3,67973,1.012,0.06,0.05,0.05
sw_9n3,71970,0.943,0.06,0.05,0.05
sw_9p5n3,75981,0.915,0.07,0.06,0.06
sw_n4,79981,2.013,0.08,0.07,0.08
sw_1p5n4,119965,2.726,0.12,0.12,0.09
sw_2n4,159974,4.961,0.13,0.12,0.12
sw_2p5n4,199978,4.021,0.16,0.16,0.15
sw_3n4,239983,5.973,0.19,0.19,0.18
sw_3p5n4,279973,6.043,0.23,0.21,0.21
sw_4n4,319977,6.576,0.27,0.24,0.24
sw_4p5n4,359982,7.735,0.3,0.28,0.27
sw_5n4,399977,6.888,0.33,0.31,0.31
sw_5p5n4,439973,10.436,0.36,0.35,0.34
sw_6n4,479977,11.029,0.4,0.38,0.37
sw_6p5n4,519976,9.638,0.43,0.41,0.4
sw_7n4,559981,12.297,0.47,0.44,0.43
sw_7p5n4,599973,10.08,0.51,0.48,0.46
sw_8n4,639982,14.344,0.54,0.51,0.49
sw_8p5n4,679974,15.269,0.57,0.55,0.53
sw_9n4,719976,15.456,0.61,0.58,0.56
sw_9p5n4,759979,17.313,0.68,0.67,0.63
sw_n5,799982,11.496,0.83,0.8,0.74
sw_1p5n5,1199984,16.493,1.3,1.19,1.16
sw_2n5,1599982,12.624,1.78,1.7,1.61
sw_2p5n5,1999981,21.985,2.27,2.19,2.02
sw_3n5,2399977,19.227,2.78,2.68,2.52
sw_3p5n5,2799977,24.907,3.62,3.12,2.87
sw_4n5,3199982,27.219,3.52,3.34,3.31
sw_4p5n5,3599981,29.182,4.25,4.12,3.79
sw_5n5,3999977,32.074,4.76,4.63,4.68
sw_5p5n5,4399981,38.536,6.11,4.69,4.58
sw_6n5,4799984,38.687,5.7,5.39,4.86
sw_6p5n5,5199990,47.879,6.54,5.59,5.24
sw_7n5,5599975,44.894,6.28,5.89,5.59
sw_7p5n5,5999972,47.672,6.68,6.37,5.99
sw_8n5,6399973,56.001,7.13,6.84,6.43
sw_8p5n5,6799966,52.648,7.64,7.28,6.85
sw_9n5,7199983,61.438,8.14,7.73,7.04
sw_9p5n5,7599982,64.161,8.68,8.12,7.62
