Fname,M,N,Conte,SLO,LFO,IDO
sw_n2,777,100,"[2,88][3,86][4,38][5,34][6,5]","[2,40][3,88][4,68][5,41][6,11]","[2,40][3,89][4,66][5,43][6,10][7,1]","[2,40][3,91][4,63][5,41][6,10][7,1]"
sw_1p5n2,1184,150,"[2,188][3,128][4,60][5,34][6,17]","[2,133][3,126][4,88][5,60][6,20]","[2,133][3,125][4,90][5,64][6,21]","[2,133][3,128][4,84][5,60][6,21]"
sw_2n2,1580,200,"[2,311][3,139][4,84][5,45][6,18][7,2]","[2,233][3,116][4,105][5,99][6,25][7,5][8,1]","[2,233][3,111][4,118][5,95][6,28][7,5][8,1]","[2,233][3,113][4,113][5,97][6,28][7,4][8,1]"
sw_2p5n2,1977,250,"[2,424][3,157][4,92][5,66][6,22][7,4]","[2,327][3,145][4,128][5,117][6,33][7,5]","[2,327][3,142][4,132][5,124][6,34][7,5]","[2,327][3,142][4,128][5,115][6,38][7,5]"
sw_3n2,2382,300,"[2,544][3,183][4,135][5,71][6,21][7,4]","[2,426][3,173][4,179][5,127][6,36][7,6][8,1]","[2,426][3,174][4,173][5,127][6,36][7,6][8,1]","[2,426][3,172][4,178][5,129][6,35][7,4][8,1]"
sw_3p5n2,2776,350,"[2,686][3,209][4,145][5,79][6,31]","[2,558][3,186][4,188][5,149][6,45][7,2]","[2,558][3,183][4,188][5,157][6,48][7,2]","[2,558][3,187][4,181][5,156][6,45][7,2]"
sw_4n2,3175,400,"[2,773][3,263][4,164][5,101][6,18][7,4]","[2,635][3,224][4,245][5,162][6,38][7,5]","[2,635][3,224][4,229][5,178][6,38][7,6]","[2,635][3,227][4,226][5,174][6,42][7,5]"
sw_4p5n2,3575,450,"[2,973][3,261][4,190][5,115][6,25][7,2]","[2,816][3,203][4,286][5,187][6,45][7,4]","[2,816][3,191][4,275][5,209][6,43][7,4]","[2,816][3,197][4,276][5,203][6,43][7,4]"
sw_5n2,3974,500,"[2,1037][3,285][4,226][5,118][6,24][7,3]","[2,864][3,238][4,316][5,204][6,46][7,3]","[2,864][3,233][4,327][5,219][6,45][7,3]","[2,864][3,243][4,307][5,211][6,48][7,4]"
sw_5p5n2,4385,550,"[2,1249][3,331][4,209][5,141][6,28][7,2]","[2,1049][3,286][4,313][5,236][6,43][7,2]","[2,1049][3,297][4,318][5,242][6,46][7,2]","[2,1049][3,280][4,317][5,240][6,45][7,2]"
