M,DSJM_slo,DSJM_lfo,DSJM_ido,Conte
800,0,0,0,0.062
1200,0,0,0,0.075
1600,0,0,0,0.076
2000,0,0.01,0,0.114
2400,0,0,0.01,0.091
2800,0,0,0,0.118
3200,0,0,0,0.106
3600,0,0,0,0.149
4000,0,0,0,0.121
4400,0.01,0,0,0.153
4800,0,0.01,0,0.177
5200,0,0,0,0.145
5600,0,0,0,0.175
6000,0.01,0.01,0,0.173
6400,0,0,0,0.18
6800,0.01,0,0,0.203
7200,0,0.01,0,0.212
7600,0.01,0.01,0.01,0.217
8000,0.01,0.01,0,0.228
12000,0.01,0.01,0.01,0.274
16000,0.02,0.01,0.01,0.3022
20000,0.02,0.01,0.02,0.398
24000,0.02,0.02,0.02,0.462
28000,0.02,0.02,0.02,0.646
32000,0.03,0.02,0.02,0.701
36000,0.03,0.03,0.03,0.827
40000,0.04,0.03,0.03,0.603
44000,0.04,0.04,0.04,0.774
48000,0.04,0.04,0.03,0.694
52000,0.04,0.04,0.03,0.814
56000,0.05,0.04,0.04,0.879
60000,0.05,0.04,0.04,1.022
64000,0.05,0.05,0.05,1.163
68000,0.05,0.05,0.05,0.958
72000,0.06,0.05,0.06,1.079
76000,0.07,0.05,0.06,1.153
80000,0.08,0.07,0.07,1.875
120000,0.13,0.12,0.12,1.989
160000,0.14,0.12,0.13,3.332
200000,0.25,0.23,0.22,2.412
240000,0.21,0.19,0.2,3.679
280000,0.37,0.32,0.35,3.093
320000,0.29,0.26,0.27,3.988
360000,0.53,0.48,0.48,3.757
400000,0.37,0.34,0.35,6.305
440000,0.42,0.38,0.38,4.872
480000,0.46,0.42,0.42,8.294
520000,0.51,0.45,0.45,7.289
560000,0.55,0.49,0.49,9.01
600000,0.58,0.53,0.54,9.341
640000,0.64,0.58,0.59,7.861
680000,0.68,0.62,0.63,7.448
720000,0.73,0.66,0.67,10.985
760000,0.79,0.7,0.71,11.786
800000,0.92,0.82,0.82,6.711
1200000,2.16,1.83,1.92,8.505
1600000,2.21,2.12,2.09,11.641
2000000,3.86,3.31,3.19,13.32
2400000,3.19,3,2.99,18.24
2800000,4.97,4.61,4.52,18.659
3200000,5.15,4.29,4.17,26.007
3600000,6.61,5.62,5.57,26.31
4000000,6,5.39,5.38,30.577
4400000,6.69,6,5.92,36.761
4800000,7.33,6.56,6.47,44.091
5200000,8.03,7.14,7.13,45.745
5600000,8.92,7.84,8.13,49.354
6000000,9.7,8.45,8.51,57.118
6400000,10.77,10.09,10.2,56.468
6800000,13.64,11.67,10.83,60.284
7200000,14.4,11.72,12.2,62.91
7600000,15.44,13.14,12.88,70.027
8000000,14.92,12.88,15.25,69.262
12000000,30.26,27.8,25.52,95.966
16000000,29.86,25.98,25.6,137.634
20000000,56.22,47.72,49.96,171.349
24000000,58.09,52.17,49.16,248.959
28000000,72.83,63.18,61.99,235.283
32000000,119.35,93.64,96.76,454.46
36000000,111.98,80.09,81.95,345.649
40000000,91.3,99.85,87.73,345.559
44000000,95.76,89.05,79.03,554.943
48000000,228.32,180,179.83,524.471
52000000,240.01,222.87,192.9,747.916
56000000,182.38,159.11,160.92,1013.633
60000000,369.06,191.71,214.24,709.814
64000000,186.42,153.23,150.8,1210.771
68000000,470.67,450.52,477.55,864.699
72000000,638.89,593.34,617.06,1972.546
76000000,598.82,570.73,574.72,
1600,0,0,0,0.096
3200,0,0,0,0.119
5600,0.01,0,0,0.186
7200,0.01,0,0,0.2
16000,0.01,0.01,0.02,0.302
32000,0.03,0.03,0.03,0.608
56000,0.05,0.05,0.04,0.886
72000,0.06,0.06,0.05,1.136
160000,0.14,0.13,0.13,2.683
320000,0.29,0.26,0.26,6.438
560000,0.55,0.49,0.5,8.481
720000,0.73,0.66,0.67,10.656
1600000,2.26,2.08,2.09,11.202
3200000,5.57,4.85,4.53,24.638
5600000,9.77,8.08,8.97,49.946
7200000,12.13,10.52,10.26,61.318
24000000,45.52,39.87,39.14,479.765
40000000,104.38,81.96,83.28,375.599
56000000,102.32,90.8,89.62,1063.837
72000000,581.89,550.51,556.41,1740.468
777,0,0,0,0.065
1184,0,0,0,0.071
1580,0,0.01,0,0.103
1977,0,0,0,0.093
2382,0,0,0,0.098
2776,0.01,0,0,0.121
3175,0,0,0,0.153
3575,0,0,0,0.149
3974,0,0,0,0.155
