,F_Name,M,N,Sp_conte,Sp_slo,Sp_lfo,Sp_ido,Sp_Rt_slo_conte,Sp_Rt_lfo_conte,Sp_Rt_ido_conte,CR_conte,CR_slo,CR_lfo,CR_ido
0,sw_n2,777,100,786,887,893,877,1.1284987277353689,1.1361323155216285,1.1157760814249365,1.9770992366412214,1.7519729425028185,1.7402015677491602,1.7719498289623716
1,sw_1p5n2,1184,150,1272,1416,1447,1412,1.1132075471698113,1.1375786163522013,1.110062893081761,1.8616352201257862,1.6723163841807909,1.6364892881824464,1.6770538243626063
2,sw_2n2,1580,200,1722,1922,1957,1946,1.116144018583043,1.1364692218350756,1.1300813008130082,1.835075493612079,1.6441207075962538,1.6147164026571283,1.6238437821171634
3,sw_2p5n2,1977,250,2177,2419,2467,2430,1.1111621497473587,1.133210840606339,1.1162149747358752,1.8162609095084978,1.6345597354278627,1.6027563842723955,1.6271604938271604
4,sw_3n2,2382,300,2686,2988,2967,2971,1.112434847356664,1.1046165301563664,1.1061057334326136,1.7736411020104244,1.5943775100401607,1.6056622851365014,1.6035005048805115
5,sw_3p5n2,2776,350,3160,3455,3504,3465,1.0933544303797469,1.1088607594936708,1.0965189873417722,1.7569620253164557,1.606946454413893,1.5844748858447488,1.6023088023088023
6,sw_4n2,3175,400,3632,3995,4018,4012,1.0999449339207048,1.1062775330396475,1.104625550660793,1.7483480176211454,1.5894868585732165,1.5803882528621205,1.582751744765703
7,sw_4p5n2,3575,450,4228,4618,4636,4628,1.0922421948912016,1.096499526963103,1.0946073793755913,1.6911069063386943,1.5482893027284539,1.5422778257118206,1.5449438202247192
8,sw_5n2,3974,500,4588,5023,5121,5056,1.0948125544899738,1.1161726242371404,1.102005231037489,1.7323452484742807,1.5823213219191719,1.5520406170669792,1.571993670886076
9,sw_5p5n2,4385,550,5214,5660,5761,5690,1.0855389336401995,1.104909858074415,1.0912926735711546,1.6820099731492137,1.5494699646643109,1.5223051553549731,1.5413005272407734
10,sw_6n2,4778,600,5603,6128,6201,6106,1.093699803676602,1.1067285382830627,1.0897733357130108,1.70551490273068,1.5593994778067886,1.5410417674568617,1.565018015067147
11,sw_6p5n2,5173,650,6137,6623,6709,6617,1.0791917875183314,1.0932051490956494,1.0782141111292163,1.6858399869643148,1.5621319643666012,1.5421076166343717,1.5635484358470606
12,sw_7n2,5577,700,6598,7179,7255,7190,1.0880569869657473,1.0995756289784784,1.089724158836011,1.6905122764474083,1.5536982866694526,1.5374224672639558,1.5513212795549374
13,sw_7p5n2,5981,750,7090,7734,7771,7695,1.0908321579689704,1.0960507757404796,1.0853314527503526,1.6871650211565585,1.5466770106025343,1.5393128297516407,1.5545159194282
14,sw_8n2,6373,800,7659,8307,8459,8361,1.0846063454759107,1.104452278365322,1.09165687426557,1.6641859250554902,1.53436860479114,1.5067974937935926,1.5244587967946417
15,sw_8p5n2,6780,850,8163,8887,8971,8893,1.088692882518682,1.098983216954551,1.0894279064069583,1.661153987504594,1.5258242376505007,1.511537175342771,1.5247947824131338
16,sw_9n2,7182,900,8629,9387,9394,9380,1.087843319040445,1.0886545370263065,1.0870321010545834,1.6646193069880635,1.5302013422818792,1.5290611028315946,1.5313432835820895
17,sw_9p5n2,7579,950,9058,9761,9901,9838,1.0776109516449548,1.093066902185913,1.0861117244424818,1.673437844998896,1.5529146603831574,1.5309564690435309,1.5407603171376296
18,sw_n3,7981,1000,9544,10309,10486,10417,1.0801550712489523,1.0987007544006706,1.0914710813076278,1.6724643755238893,1.5483558056067515,1.5222201029944689,1.5323029663050782
19,sw_1p5n3,11972,1500,14290,15531,15735,15569,1.0868439468159552,1.1011196641007697,1.0895031490552833,1.6755773268019594,1.541690811924538,1.5217032094057832,1.5379279337144325
20,sw_2n3,15974,2000,19168,20951,21135,20904,1.0930196160267112,1.1026189482470785,1.090567612687813,1.6667362270450752,1.5248914132976947,1.511615803170097,1.5283199387677
21,sw_2p5n3,19974,2500,24198,26270,26647,26461,1.0856269113149848,1.1012067112984545,1.0935201256302174,1.6508802380362013,1.5206699657403884,1.4991556272751154,1.50969351120517
22,sw_3n3,23975,3000,29119,31684,32055,31727,1.0880868161681376,1.1008276383117552,1.0895635152306054,1.6466911638449122,1.513382148718596,1.4958664794883794,1.5113310429602547
23,sw_3p5n3,27979,3500,34069,37058,37505,37145,1.0877337168687076,1.1008541489330477,1.0902873580087469,1.6424902403944934,1.5100113335851908,1.492014398080256,1.5064746264638578
24,sw_4n3,31985,4000,38952,42311,42628,42202,1.0862343397001437,1.0943725611008421,1.0834360238241938,1.642277675087287,1.5118999787289358,1.5006568452660223,1.5158049381545897
25,sw_4p5n3,35973,4500,43751,47602,48146,47719,1.088020845237823,1.1004548467463602,1.0906950698269753,1.6444424127448516,1.5114070837359774,1.4943297470194825,1.507701334898049
26,sw_5n3,39982,5000,48912,53029,53589,53170,1.084171573438011,1.0956207065750736,1.0870543016028786,1.6348544324501144,1.507929623413604,1.4921719009498218,1.5039307880383674
27,sw_5p5n3,43973,5500,53877,58632,59109,58758,1.0882565844423409,1.0971100840804053,1.0905952447240939,1.6323477550717376,1.4999658889343703,1.487861408584141,1.4967493788079922
28,sw_6n3,47983,6000,58739,63764,64589,63908,1.0855479323788284,1.0995931153066958,1.087999455217147,1.6337697270978395,1.505018505739916,1.4857947947792969,1.5016273393002442
